--------- beginning of crash
06-12 23:12:35.588 F/linker  (19094): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:12:42.521 W/System.err(19139): 	at androidx.recyclerview.widget.RecyclerView$l.m(SourceFile:243)
06-12 23:12:42.521 W/System.err(19139): 	at androidx.recyclerview.widget.RecyclerView$l.l(SourceFile:3)
06-12 23:12:42.521 W/System.err(19139): 	at androidx.leanback.widget.GridLayoutManager$b.b(SourceFile:42)
06-12 23:12:42.521 W/System.err(19139): 	at androidx.leanback.widget.S.b(SourceFile:58)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.leanback.widget.GridLayoutManager.a1(SourceFile:26)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.leanback.widget.GridLayoutManager.v0(SourceFile:1188)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.recyclerview.widget.RecyclerView.r(SourceFile:74)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.recyclerview.widget.RecyclerView.p(SourceFile:72)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.recyclerview.widget.RecyclerView.onLayout(SourceFile:8)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.constraintlayout.widget.ConstraintLayout.onLayout(SourceFile:67)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at androidx.constraintlayout.widget.ConstraintLayout.onLayout(SourceFile:67)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.522 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.522 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at androidx.constraintlayout.widget.ConstraintLayout.onLayout(SourceFile:67)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.LinearLayout.setChildFrame(LinearLayout.java:1829)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.LinearLayout.layoutVertical(LinearLayout.java:1673)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.LinearLayout.onLayout(LinearLayout.java:1582)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:332)
06-12 23:12:42.523 W/System.err(19139): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:270)
06-12 23:12:42.523 W/System.err(19139): 	at com.android.internal.policy.DecorView.onLayout(DecorView.java:784)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.View.layout(View.java:22844)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewGroup.layout(ViewGroup.java:6389)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewRootImpl.performLayout(ViewRootImpl.java:3475)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:2943)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1948)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:8177)
06-12 23:12:42.523 W/System.err(19139): 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:972)
06-12 23:12:42.524 W/System.err(19139): 	at android.view.Choreographer.doCallbacks(Choreographer.java:796)
06-12 23:12:42.524 W/System.err(19139): 	at android.view.Choreographer.doFrame(Choreographer.java:731)
